# Geant4→SSD 信号模拟 — noscratch — 每事件一行
# event_id  n_hits  r_mm  z_mm  edep_keV  emeas_keV
852  5  9.679  0.15  122.0  122.0001
854  8  3.498  2.733  121.9999  121.9999
855  6  13.665  2.638  121.9999  121.9999
858  8  6.721  0.389  122.0  122.0
859  5  11.691  8.398  122.0  122.0
860  9  8.369  3.882  122.0  122.0
862  6  7.83  1.267  122.0  122.0
863  5  3.922  0.732  122.0  122.0
864  3  14.571  1.479  39.4886  39.4886
865  8  12.893  1.07  122.0  122.0
867  9  10.638  8.361  122.0  122.0
868  6  9.731  1.876  122.0  122.0
871  8  11.781  3.201  122.0  122.0
872  5  13.464  1.015  122.0001  122.0001
875  3  12.613  1.444  17.602  17.602
877  6  10.162  0.32  122.0  122.0
880  8  14.484  7.264  122.0  122.0
881  5  7.42  3.151  122.0  122.0
882  3  9.159  2.407  42.9977  42.9977
883  7  11.339  1.48  122.0  122.0
884  8  9.342  3.038  122.0  122.0
886  8  13.575  4.255  122.0  122.0
888  6  12.816  2.046  122.0  122.0
889  10  9.894  3.535  122.0001  122.0001
890  5  2.656  1.103  121.9999  121.9999
891  7  9.991  5.232  121.9999  122.0
893  8  10.774  5.838  122.0  122.0
894  10  5.802  4.411  121.9999  121.9999
895  8  14.766  0.778  122.0  122.0
897  8  2.708  0.15  121.9999  121.9999
898  8  11.231  2.427  122.0001  122.0001
899  6  10.242  2.766  121.9999  122.0
900  8  8.416  7.011  122.0  122.0
902  6  10.548  0.983  30.9633  30.9633
903  5  11.084  5.181  122.0  122.0
904  6  10.648  1.828  122.0  122.0
905  6  3.068  3.087  122.0  122.0
909  4  9.535  0.348  122.0  122.0
910  3  9.107  3.474  3.0298  3.0298
911  6  14.737  1.033  50.866  50.866
913  7  5.927  1.426  122.0  122.0
914  8  5.043  2.173  122.0  122.0
